,h_mean_1_,h_mean_2_,h_std_1_,h_std_2_,h_coov_1_,h_coov_2_,h_kur_1_,h_kur_2_,h_skew_1_,h_skew_2_,IR_,h_q5_1_,h_q10_1_,h_q25_1_,h_q50_1_,h_q75_1_,h_q90_1_,h_q95_1_,h_q99_1_,h_q5_2_,h_q10_2_,h_q25_2_,h_q50_2_,h_q75_2_,h_q90_2_,h_q95_2_,h_q99_2_,temp_diff_days,BMag_ha,V_ha
921,12.074714408417435,14.75042120456633,6.9629828121652535,4.456850526805091,0.576658178127283,0.3021507294602117,-0.8564735264189522,0.0304371331911226,-0.648602376193185,-0.6543909515776264,0.8182306205711831,0.0,0.01,7.8325,13.99,17.37,19.84700000000001,20.73,21.92,6.140000000000001,8.39,12.24,15.31,18.16,20.17,20.9,22.046000000000006,-586.0,157.3273115,288.15507496
922,3.175255634964266,4.146335135135136,2.2729566585142336,1.6691905605185051,0.7158342255929303,0.40257010254047,-0.9361190679501424,-0.3431527063264523,0.0455149766804415,0.2657720807976778,0.762781748213304,0.0,0.0,1.25,3.37,4.92,6.049999999999999,6.68,8.088900000000002,1.51,1.8940000000000003,2.895,4.13,5.3100000000000005,6.3,6.882999999999997,8.247799999999993,-571.0,33.05606914,52.526140189
923,2.793325438180957,9.043519379844962,4.966270622078649,4.94085427302798,1.777906202476979,0.5463419787698496,1.0536209862827484,-1.1627982674161044,1.591542122641988,-0.1341871649599082,0.3055423969682614,0.0,0.0,0.0,0.01,2.8575,12.349,14.18,17.09,1.3690000000000002,1.79,4.1225,9.56,13.31,15.15,16.28,17.91,-570.0,8.4316252759,20.377319788
924,7.929298559364135,12.66999045953252,7.168207648983099,4.72448404243605,0.9040153546139056,0.3728877348034221,-1.592134959000285,-0.5357597380424486,0.1164590998916683,-0.5652119501112729,0.6248385494287133,-0.02,0.0,0.02,8.32,14.87,17.37,18.53,19.883600000000005,3.64,5.48,9.38,13.52,16.38,18.21,19.035999999999994,20.1324,-570.0,140.38665575,249.62701167
925,3.97272121277282,8.28340684068407,4.838172865703843,3.65894041548829,1.217848574460368,0.4417192691197241,-0.88681287033245,-0.548730962212189,0.7551920077407349,-0.1420613607097027,0.4777980862272873,-0.01,-0.01,0.0,0.05,8.620000000000001,11.14,12.28,15.91,1.86,2.74,5.607500000000001,8.870000000000001,10.83,12.4,14.07,16.481399999999994,-574.0,114.95979147,229.58237458
926,13.606333268595844,16.42938775510204,8.285301360782274,6.049353010966381,0.608929768015105,0.3682031918132672,-0.9099971252920236,-0.5199080193101389,-0.315357572530907,-0.1268629812649778,0.8279277529617401,0.0,0.0,9.05,14.03,20.27,24.232,25.52,27.610799999999983,5.901000000000001,9.334,12.59,15.58,21.64,24.69,25.819,27.765200000000004,-574.0,272.33147779,474.92605769
927,9.38858855029963,14.95222335231896,10.0895991635343,8.913559650701563,1.074666240775063,0.5961360689090528,-0.8491272472249642,-1.13550391577624,0.7143782962414005,0.223927784222452,0.6268009690169578,-0.01,0.0,0.01,6.26,15.735,27.5,28.59,29.4558,1.94,2.925,7.85,13.835,24.115,28.335,28.92,29.55850000000001,-601.0,261.65796183,431.63724673
928,5.106006830601093,13.418287153652392,7.124539674322237,4.72349949888422,1.395325135803533,0.352019556952059,-1.06753589806737,-0.0680133127728916,0.8516473845375322,-0.9886122172567552,0.3796448087431694,-0.03,-0.02,0.0,0.03,12.88,17.01,17.86,18.81,3.149,5.596000000000001,10.885000000000002,15.03,17.125,18.09,18.51,19.1022,-601.0,97.898492319,193.88649914
929,6.499991876523152,8.15580835254932,4.0977750248494695,2.817562305756941,0.6304277147868331,0.3454669585113823,-1.0004122100708586,0.3883204810945537,-0.3766373278758853,-0.4426230253090701,0.7926482534524777,0.0,0.01,2.1275,7.67,9.49,10.97,12.128499999999995,14.175399999999993,1.9620000000000004,4.372000000000001,6.73,8.44,9.92,11.388000000000003,12.518999999999997,14.36,-601.0,64.354215179,114.62597991
930,13.197376212353245,16.190887147335424,7.018520359129247,3.5019244144925707,0.5318117969964096,0.2162898414784449,-0.4354736572214843,2.463763765533828,-1.026092645089518,-1.3319612957818123,0.8141909137314957,0.0,0.0,10.8825,15.975,18.1575,19.69,20.43,21.31,9.0035,11.878,14.63,16.765,18.6,19.941,20.5655,21.422200000000004,-613.0,213.90843221,434.11158509
